tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
325,1/1/2018 14:23,1/1/2018 14:28,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,29669,Subscriber,1989,2
872,1/1/2018 14:23,1/1/2018 14:37,3195,Sip Ave,40.73074263,-74.06378388,3183,Exchange Place,40.7162469,-74.0334588,29681,Subscriber,1975,1
564,1/1/2018 14:35,1/1/2018 14:44,3275,Columbus Drive,40.7183552,-74.03891444,3279,Dixon Mills,40.72163014,-74.04996783,31832,Subscriber,1965,1
234,1/1/2018 14:43,1/1/2018 14:47,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29622,Subscriber,1988,1
354,1/1/2018 14:53,1/1/2018 14:59,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31697,Subscriber,1994,1
212,1/1/2018 14:54,1/1/2018 14:58,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,31954,Subscriber,1985,1
353,1/1/2018 14:59,1/1/2018 15:05,3193,Lincoln Park,40.7246051,-74.07840595,3280,Astor Place,40.7192822,-74.07126188,31765,Subscriber,1960,1
1538,1/1/2018 15:03,1/1/2018 15:29,3212,Christ Hospital,40.73478582,-74.05044364,3638,Washington St,40.7242941,-74.0354826,31877,Subscriber,1988,1
251,1/1/2018 15:06,1/1/2018 15:11,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,29577,Subscriber,1990,1
179,1/1/2018 15:43,1/1/2018 15:46,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,31954,Subscriber,1980,1
139,1/1/2018 15:49,1/1/2018 15:51,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,31779,Subscriber,1988,2
155,1/1/2018 15:54,1/1/2018 15:57,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,31773,Subscriber,1974,1
231,1/1/2018 15:55,1/1/2018 15:59,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,31738,Subscriber,1989,1
444,1/1/2018 16:01,1/1/2018 16:09,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,31773,Subscriber,1974,1
157,1/1/2018 16:02,1/1/2018 16:05,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,31920,Subscriber,1967,2
368,1/1/2018 16:06,1/1/2018 16:12,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,31711,Subscriber,1970,1
204,1/1/2018 16:35,1/1/2018 16:38,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,31875,Subscriber,1988,2
96,1/1/2018 16:41,1/1/2018 16:43,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,33372,Subscriber,1991,1
145,1/1/2018 16:46,1/1/2018 16:49,3275,Columbus Drive,40.7183552,-74.03891444,3185,City Hall,40.7177325,-74.043845,29617,Subscriber,1972,1
509,1/1/2018 16:46,1/1/2018 16:55,3269,Brunswick & 6th,40.72601173,-74.05038893,3185,City Hall,40.7177325,-74.043845,29613,Subscriber,1964,1
605,1/1/2018 16:48,1/1/2018 16:58,3280,Astor Place,40.7192822,-74.07126188,3213,Van Vorst Park,40.71848892,-74.04772663,33463,Subscriber,1983,1
423,1/1/2018 17:00,1/1/2018 17:07,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,26289,Subscriber,1985,1
359,1/1/2018 17:17,1/1/2018 17:23,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,31940,Subscriber,1988,1
274,1/1/2018 17:28,1/1/2018 17:33,3220,5 Corners Library,40.73496102,-74.05950308,3209,Brunswick St,40.7241765,-74.0506564,26234,Subscriber,1978,1
250,1/1/2018 17:34,1/1/2018 17:38,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31861,Subscriber,1991,1
611,1/1/2018 18:14,1/1/2018 18:24,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,31859,Subscriber,1982,1
312,1/1/2018 18:21,1/1/2018 18:27,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31833,Subscriber,1952,1
562,1/1/2018 18:34,1/1/2018 18:43,3201,Dey St,40.737711,-74.066921,3640,Journal Square,40.73367,-74.0625,26317,Subscriber,1965,2
